,Feature,AUC
0,HR_DN_HistogramMode_5,0.27777777777777785
1,HR_DN_HistogramMode_10,0.5833333333333334
2,HR_CO_f1ecac,0.8611111111111112
3,HR_CO_FirstMin_ac,0.5555555555555556
4,HR_CO_HistogramAMI_even_2_5,0.8055555555555556
5,HR_CO_trev_1_num,0.19444444444444448
6,HR_MD_hrv_classic_pnn40,0.41666666666666674
7,HR_SB_BinaryStats_mean_longstretch1,0.888888888888889
8,HR_SB_TransitionMatrix_3ac_sumdiagcov,0.38888888888888895
9,HR_PD_PeriodicityWang_th0_01,0.6666666666666666
10,HR_CO_Embed2_Dist_tau_d_expfit_meandiff,0.6666666666666667
11,HR_IN_AutoMutualInfoStats_40_gaussian_fmmi,0.5
12,HR_FC_LocalSimple_mean1_tauresrat,0.9166666666666666
13,HR_DN_OutlierInclude_p_001_mdrmd,0.2777777777777778
14,HR_DN_OutlierInclude_n_001_mdrmd,0.2777777777777778
15,HR_SP_Summaries_welch_rect_area_5_1,0.8333333333333334
16,HR_SB_BinaryStats_diff_longstretch0,0.5416666666666667
17,HR_SB_MotifThree_quantile_hh,0.2777777777777778
18,HR_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0.08333333333333333
19,HR_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.5138888888888888
20,HR_SP_Summaries_welch_rect_centroid,0.18055555555555555
21,HR_FC_LocalSimple_mean3_stderr,0.19444444444444445
22,RR_DN_HistogramMode_5,0.4166666666666667
23,RR_DN_HistogramMode_10,0.5555555555555557
24,RR_CO_f1ecac,0.05555555555555556
25,RR_CO_FirstMin_ac,0.20833333333333337
26,RR_CO_HistogramAMI_even_2_5,0.13888888888888892
27,RR_CO_trev_1_num,0.6666666666666667
28,RR_MD_hrv_classic_pnn40,0.8333333333333334
29,RR_SB_BinaryStats_mean_longstretch1,0.05555555555555556
30,RR_SB_TransitionMatrix_3ac_sumdiagcov,0.33333333333333337
31,RR_PD_PeriodicityWang_th0_01,0.4166666666666667
32,RR_CO_Embed2_Dist_tau_d_expfit_meandiff,0.27777777777777785
33,RR_IN_AutoMutualInfoStats_40_gaussian_fmmi,0.23611111111111116
34,RR_FC_LocalSimple_mean1_tauresrat,0.6111111111111112
35,RR_DN_OutlierInclude_p_001_mdrmd,0.25
36,RR_DN_OutlierInclude_n_001_mdrmd,0.6111111111111112
37,RR_SP_Summaries_welch_rect_area_5_1,0.13888888888888892
38,RR_SB_BinaryStats_diff_longstretch0,0.6527777777777777
39,RR_SB_MotifThree_quantile_hh,0.9722222222222223
40,RR_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0.47222222222222227
41,RR_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.5833333333333335
42,RR_SP_Summaries_welch_rect_centroid,1.0
43,RR_FC_LocalSimple_mean3_stderr,0.9166666666666667
44,SPO2_DN_HistogramMode_5,0.4722222222222222
45,SPO2_DN_HistogramMode_10,0.4722222222222223
46,SPO2_CO_f1ecac,0.4444444444444444
47,SPO2_CO_FirstMin_ac,0.36111111111111116
48,SPO2_CO_HistogramAMI_even_2_5,0.5833333333333334
49,SPO2_CO_trev_1_num,0.4166666666666667
50,SPO2_MD_hrv_classic_pnn40,0.6666666666666667
51,SPO2_SB_BinaryStats_mean_longstretch1,0.13888888888888892
52,SPO2_SB_TransitionMatrix_3ac_sumdiagcov,0.23611111111111113
53,SPO2_PD_PeriodicityWang_th0_01,0.3888888888888889
54,SPO2_CO_Embed2_Dist_tau_d_expfit_meandiff,0.4444444444444444
55,SPO2_IN_AutoMutualInfoStats_40_gaussian_fmmi,0.4166666666666667
56,SPO2_FC_LocalSimple_mean1_tauresrat,0.3055555555555556
57,SPO2_DN_OutlierInclude_p_001_mdrmd,0.6111111111111112
58,SPO2_DN_OutlierInclude_n_001_mdrmd,0.3055555555555556
59,SPO2_SP_Summaries_welch_rect_area_5_1,0.33333333333333337
60,SPO2_SB_BinaryStats_diff_longstretch0,0.20833333333333331
61,SPO2_SB_MotifThree_quantile_hh,0.638888888888889
62,SPO2_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0.5833333333333335
63,SPO2_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.5416666666666667
64,SPO2_SP_Summaries_welch_rect_centroid,0.5277777777777778
65,SPO2_FC_LocalSimple_mean3_stderr,0.638888888888889
